date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:29:42	121259/121259	---M--	200	added ('OK')	image/svg+xml	etag:%226512fca9ff4dc029307018c17e4a2a9d%22	http://www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-ExtraBoldItalic-webfont.svg	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-ExtraBoldItalic-webfont.svg	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:29:45	21576/21576	---M--	200	added ('OK')	binary/octet-stream	etag:%22ff3bedaecdec71c34b0ca85c3c495c2d%22	http://www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-ExtraBoldItalic-webfont.eot?	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-ExtraBoldItalic-webfontd41d.eot	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:29:48	43420/43420	---M--	200	added ('OK')	binary/octet-stream	etag:%225517d73acdc17143c21b0cffab4cfaa9%22	http://www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-ExtraBoldItalic-webfont.ttf	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-ExtraBoldItalic-webfont.ttf	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:29:49	34558/34558	---M--	200	added ('OK')	binary/octet-stream	etag:%22c49b3981651dfe7f281418762ba6ead9%22	http://www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-bold-webfont.eot	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-bold-webfont.eot	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:29:52	37548/37548	---M--	200	added ('OK')	application/font-woff	etag:%22d1e41b59c942f200e2af5cd00a1c413c%22	http://www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-bold-webfont.woff	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-bold-webfont.woff	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:29:54	191513/191513	---M--	200	added ('OK')	image/svg+xml	etag:%226be4bfc9a081cb82910a1ac43eaee4c7%22	http://www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-bold-webfont.svg	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-bold-webfont.svg	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:29:55	34558/34558	---M--	200	added ('OK')	binary/octet-stream	etag:%22c49b3981651dfe7f281418762ba6ead9%22	http://www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-bold-webfont.eot?	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-bold-webfontd41d.eot	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:30:03	75508/75508	---M--	200	added ('OK')	binary/octet-stream	etag:%22e2a49a303079f1d0ef576591d806b1b4%22	http://www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-bold-webfont.ttf	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-bold-webfont.ttf	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:30:03	51015/51015	---M--	200	added ('OK')	binary/octet-stream	etag:%2298770575e43bc5883a62f232c2fc5475%22	http://www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-italic-webfont.eot	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-italic-webfont.eot	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:30:04	51236/51236	---M--	200	added ('OK')	application/font-woff	etag:%22bfa5b7beba080b0c6af53ca5a255b37d%22	http://www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-italic-webfont.woff	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-italic-webfont.woff	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:30:07	288537/288537	---M--	200	added ('OK')	image/svg+xml	etag:%228825a887e1d72aad739281fcc3eb83a6%22	http://www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-italic-webfont.svg	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-italic-webfont.svg	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:30:14	51015/51015	---M--	200	added ('OK')	binary/octet-stream	etag:%2298770575e43bc5883a62f232c2fc5475%22	http://www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-italic-webfont.eot?	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-italic-webfontd41d.eot	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:30:15	34123/34123	---M--	200	added ('OK')	binary/octet-stream	etag:%2284aa9cfe8f8c7a9a0ed814c1d54e6f87%22	http://www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-regular-webfont.eot	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-regular-webfont.eot	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:30:18	812011/812011	---M--	200	added ('OK')	image/jpeg	etag:%22f063209a66807e69329fada1e2590674%22	http://www.armaanfarshori.xyz/images/testimonials-bg.jpg	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/images/testimonials-bg.jpg	(from http://www.armaanfarshori.xyz/css/layout.css)
18:30:20	34123/34123	---M--	200	added ('OK')	binary/octet-stream	etag:%2284aa9cfe8f8c7a9a0ed814c1d54e6f87%22	http://www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-regular-webfont.eot?	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-regular-webfontd41d.eot	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:30:21	37128/37128	---M--	200	added ('OK')	application/font-woff	etag:%22d67a803b3388b5b73200e6eec553f6fe%22	http://www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-regular-webfont.woff	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-regular-webfont.woff	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:30:23	186358/186358	---M--	200	added ('OK')	image/svg+xml	etag:%220417aa96d0b9b04ba4b3a5c3a2378ea7%22	http://www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-regular-webfont.svg	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-regular-webfont.svg	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:30:25	6124/6124	---M--	200	added ('OK')	binary/octet-stream	etag:%22ce25cd5bdc97f3162b5ed8d9facb3005%22	http://www.armaanfarshori.xyz/css/fontello/font/fontello.eot?13439518	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fontello/font/fontelloae88.eot	(from http://www.armaanfarshori.xyz/css/fontello/css/fontello.css)
18:30:25	3456/3456	---M--	200	added ('OK')	application/font-woff	etag:%22b54500d9503d30109f1a6acdb9fe81d8%22	http://www.armaanfarshori.xyz/css/fontello/font/fontello.woff?13439518	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fontello/font/fontelloae88.woff	(from http://www.armaanfarshori.xyz/css/fontello/css/fontello.css)
18:30:26	3557/3557	---M--	200	added ('OK')	image/svg+xml	etag:%22931bc5e57d402b88137500d8af868cff%22	http://www.armaanfarshori.xyz/css/fontello/font/fontello.svg?13439518	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fontello/font/fontelloae88.svg	(from http://www.armaanfarshori.xyz/css/fontello/css/fontello.css)
18:30:26	5956/5956	---M--	200	added ('OK')	binary/octet-stream	etag:%223cd7423df7d808f922898f5be0edcdd8%22	http://www.armaanfarshori.xyz/css/fontello/font/fontello.ttf?13439518	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fontello/font/fontelloae88.ttf	(from http://www.armaanfarshori.xyz/css/fontello/css/fontello.css)
18:30:28	122896/122896	---M--	200	added ('OK')	binary/octet-stream	etag:%22e145c25e7611072d1d1991eb12d61bda%22	http://www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-italic-webfont.ttf	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-italic-webfont.ttf	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:30:32	38205/38205	---M--	200	added ('OK')	binary/octet-stream	etag:%228b27bc96115c2d24350f0d09e6a9433f%22	http://www.armaanfarshori.xyz/css/font-awesome/fonts/fontawesome-webfont.eot?v=4.0.3	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/font-awesome/fonts/fontawesome-webfontba72.eot	(from http://www.armaanfarshori.xyz/css/font-awesome/css/font-awesome.min.css)
18:30:32	38205/38205	---M--	200	added ('OK')	binary/octet-stream	etag:%228b27bc96115c2d24350f0d09e6a9433f%22	http://www.armaanfarshori.xyz/css/font-awesome/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://www.armaanfarshori.xyz/css/font-awesome/css/font-awesome.min.css)
18:30:33	75544/75544	---M--	200	added ('OK')	binary/octet-stream	etag:%22eaf077e2e9d8c00e3348b03a7cac92fe%22	http://www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-regular-webfont.ttf	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/librebaskerville/librebaskerville-regular-webfont.ttf	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:30:34	202148/202148	---M--	200	added ('OK')	image/svg+xml	etag:%220a799148a50bb02c6f380eabd8d97559%22	http://www.armaanfarshori.xyz/css/font-awesome/fonts/fontawesome-webfont.svg?v=4.0.3	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/font-awesome/fonts/fontawesome-webfontba72.svg	(from http://www.armaanfarshori.xyz/css/font-awesome/css/font-awesome.min.css)
18:30:34	44432/44432	---M--	200	added ('OK')	application/font-woff	etag:%223293616ec0c605c7c2db25829a0a509e%22	http://www.armaanfarshori.xyz/css/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/font-awesome/fonts/fontawesome-webfontba72.woff	(from http://www.armaanfarshori.xyz/css/font-awesome/css/font-awesome.min.css)
18:30:38	80652/80652	---M--	200	added ('OK')	binary/octet-stream	etag:%22dcb26c7239d850266941e80370e207c1%22	http://www.armaanfarshori.xyz/css/font-awesome/fonts/fontawesome-webfont.ttf?v=4.0.3	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/font-awesome/fonts/fontawesome-webfontba72.ttf	(from http://www.armaanfarshori.xyz/css/font-awesome/css/font-awesome.min.css)
